Title,URL,image URL,image2 URL,Price1,Price2,Price3,desc1,desc2,desc3,Item ID,Type,Brand,Price level,Tag ID,Gender,online Date,offline Date,Stock,Status
Sheath V-Neck Long Sleeves Cocktail Dress,http://www.tbdress.com/product/Sheath-V-Neck-Long-Sleeves-Cocktail-Dress-11315365.html,http://s.tbdress.com/images/product/11/11315/11315365_1.jpg,http://s.tbdress.com/images/product/11/11315/11315365_1_m.jpg,261.58,108.99,108.99,,,,11315365,Cocktail Dresses 2015,,,,,00:01.6,1753-01-01 00:00:00,,1
Sheath Squre Neck Appliques Long Sleeves Cocktail Dress,http://www.tbdress.com/product/Sheath-Squre-Neck-Appliques-Long-Sleeves-Cocktail-Dress-11315356.html,http://s.tbdress.com/images/product/11/11315/11315356_1.jpg,http://s.tbdress.com/images/product/11/11315/11315356_1_m.jpg,542.06,138.99,138.99,,,,11315356,Cocktail Dresses 2015,,,,,00:01.6,1753-01-01 00:00:00,,1
Mermaid Jewel Neck Lace Half Sleeves Court Train Evening Dress,http://www.tbdress.com/product/Mermaid-Jewel-Neck-Lace-Half-Sleeves-Court-Train-Evening-Dress-11315354.html,http://s.tbdress.com/images/product/11/11315/11315354_1.jpg,http://s.tbdress.com/images/product/11/11315/11315354_1_m.jpg,516.76,135.99,135.99,,,,11315354,Evening Dresses 2015,,,,,00:01.6,1753-01-01 00:00:00,,1
Mermaid Square Neck Embroidery Court Train Evening Dress,http://www.tbdress.com/product/Mermaid-Square-Neck-Embroidery-Court-Train-Evening-Dress-11315353.html,http://s.tbdress.com/images/product/11/11315/11315353_1.jpg,http://s.tbdress.com/images/product/11/11315/11315353_1_m.jpg,470.97,156.99,156.99,,,,11315353,Evening Dresses 2015,,,,,00:01.6,1753-01-01 00:00:00,,1
Solid Color Off-Shoulders Women's Day Dress,http://www.tbdress.com/product/Solid-Color-Off-Shoulders-Womens-Day-Dress-11315329.html,http://s.tbdress.com/images/product/11/11315/11315329_1.jpg,http://s.tbdress.com/images/product/11/11315/11315329_1_m.jpg,60.76,15.99,14.99,,,,11315329,Short Day Dresses,,,,,20:09.2,2015/4/3 16:00,,2
Pointed Toe Bowknot Women's Flats,http://www.tbdress.com/product/Pointed-Toe-Bowknot-Womens-Flats-11315246.html,http://s.tbdress.com/images/product/11/11315/11315246_1.jpg,http://s.tbdress.com/images/product/11/11315/11315246_1_m.jpg,100.76,27.99,26.39,,,,11315246,Flats,,,,,00:01.9,2015/4/3 16:00,,2
Low Heel Pointed Toe Women's Flats,http://www.tbdress.com/product/Low-Heel-Pointed-Toe-Womens-Flats-11315232.html,http://s.tbdress.com/images/product/11/11315/11315232_1.jpg,http://s.tbdress.com/images/product/11/11315/11315232_1_m.jpg,120.86,30.99,27.49,,,,11315232,Pumps,,,,,00:01.9,2015/4/3 16:00,,2
High Heel Flip Flop Women's Pumps,http://www.tbdress.com/product/High-Heel-Flip-Flop-Womens-Pumps-11315218.html,http://s.tbdress.com/images/product/11/11315/11315218_1.jpg,http://s.tbdress.com/images/product/11/11315/11315218_1_m.jpg,100.76,27.99,27.99,,,,11315218,Pumps,,,,,00:01.9,1753-01-01 00:00:00,,1
Stiletto Heel Colored Rhinestones Decorated Women's Pumps,http://www.tbdress.com/product/Stiletto-Heel-Colored-Rhinestones-Decorated-Womens-Pumps-11315217.html,http://s.tbdress.com/images/product/11/11315/11315217_1.jpg,http://s.tbdress.com/images/product/11/11315/11315217_1_m.jpg,77.48,30.99,27.99,,,,11315217,Pumps,,,,,00:01.9,2015/4/3 16:00,,2
Pearls Flat Heel Women's Sandals,http://www.tbdress.com/product/Pearls-Flat-Heel-Womens-Sandals-11315211.html,http://s.tbdress.com/images/product/11/11315/11315211_1.jpg,http://s.tbdress.com/images/product/11/11315/11315211_1_m.jpg,62.07,22.99,21.19,,,,11315211,Flat Sandals,,,,,00:01.9,2015/4/3 16:00,,2
